Name,Image,Price,Category
New Avanza,Rental-Persewaan-Mobil-Avanza-New-Semarang.jpg,400000,Rental Mobil Semarang
Avanza CVT,Rental-Persewaan-Mobil-Avanza-CVT-Semarang.jpg,450000,Rental Mobil Semarang
Xenia New,Rental-Persewaan-Mobil-Xenia-New-Semarang.jpg,450000,Rental Mobil Semarang
Innova Reborn,Rental-Persewaan-Mobil-Innova-Reborn-Semarang.jpg,650000,Rental Mobil Semarang
Hiace Premio 12 seat,Rental-Persewaan-Hiace-Premio-12-seat-Semarang.jpg,1500000,Rental Mobil Semarang
Hiace Commuter 15 seat,Rental-Persewaan-Hiace-Commuter-15-seat-Semarang.jpg,1200000,Rental Mobil Semarang
Honda Brio,Rental-Persewaan-Honda-Brio-Semarang.jpg,425000,Rental Mobil Semarang
Honda Jazz,Rental-Persewaan-Mobil-Honda-Jazz-Semarang.jpg,450000,Rental Mobil Semarang
Expander,Rental-Persewaan-Mobil-Xpander-Semarang.jpg,500000,Rental Mobil Semarang
